Area,Region,Market,Zip, pct College Degree or more,pct Asian, pct AA, pct Hispanic,pct Hispanic & AA, Hispanic & AA Pops, $ Median HH Income, Total Households, Total Pops, Avg HH Size
East,Northeast,New York City,11213,23.9,1,70.2,10.1,80.3,54338,38673,24802,67669,2.7
East,Northeast,New York City,11214,22.5,38.2,0.9,13.2,14.1,13147,46588,34078,93240,2.7
East,Northeast,New York City,11215,62,7.8,5,16.9,21.9,15227,101824,30847,69530,2.3
East,Northeast,New York City,11216,32.3,3.6,71.1,10.6,81.7,49178,41946,25723,60194,2.3
East,Northeast,New York City,11217,57.3,7.5,19.2,19.3,38.5,15358,89992,18172,39891,2.2
East,Northeast,New York City,11218,35.4,22.2,7.6,19.1,26.7,20584,54811,26303,77093,2.9
East,Northeast,New York City,11219,17.7,25.5,1,11.8,12.8,12662,38675,28263,98918,3.5
East,Northeast,New York City,11220,18.7,45.7,2.5,39.7,42.2,42428,42005,29287,100541,3.4
East,Northeast,New York City,11221,21,2.6,54.3,39.1,93.4,84524,41930,33270,90497,2.7
East,Northeast,New York City,11222,47.7,6,1.4,14.6,16,6349,70255,18509,39683,2.1
East,Northeast,New York City,11223,24.8,24.6,3.5,12.7,16.2,14055,46878,31912,86762,2.7
East,Northeast,New York City,11224,28,7,21.9,17.8,39.7,20595,34666,21907,51877,2.4
East,Northeast,New York City,11225,28.5,1.7,69.8,10.2,80,49909,46677,24747,62386,2.5
East,Northeast,New York City,11226,19.6,3.9,72.4,17.2,89.6,100526,42342,40280,112194,2.8
East,Northeast,New York City,11228,24.3,30.3,0.6,10.5,11.1,5003,64738,16866,45070,2.7
East,Northeast,New York City,11229,34.7,21.8,4.6,7.9,12.5,10518,54975,32408,84143,2.6
